Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	5906.4520419938	-0.84	0.139437221754331	-6.02970987071687	1.64254285718745e-09	3.57974424058667e-09
SACI_RS00010	1052.37832437959	-1.00	0.161197628764174	-6.20605044523616	5.43327443230062e-10	1.20812074298971e-09
SACI_RS00015	87165.1709518887	1.87	0.132101347810945	14.1195804119524	2.87699176320037e-45	1.70626994604671e-44
SACI_RS00020	664.011887476305	-0.25	0.0965141139351682	-2.61268534389611	0.00898339675924245	0.0132579680629257
SACI_RS00025	7073.76561049587	0.65	0.0651635249796912	9.92280223111697	3.31321153526557e-23	1.09949770324361e-22
SACI_RS00030	161.977199136077	-2.34	0.195019547475165	-11.9992574139604	3.5849841666647e-33	1.544402381492e-32
SACI_RS11965	17.3957901416247	-0.00	0.331429419013685	-0.00702454308834917	0.994395271616628	0.994962040081499
SACI_RS00035	2596.72564764315	1.00	0.0747354064718405	13.3827642698067	7.62576335509511e-41	3.99612763279686e-40
SACI_RS00040	3235.57520538683	1.33	0.0777968532797537	17.1198668712844	1.05516373498684e-65	9.74915756194419e-65
SACI_RS00045	2490.21863215224	-2.31	0.122788179187398	-18.7723436947891	1.27150275685056e-78	1.51845108139535e-77
SACI_RS00050	393.274763798431	1.24	0.144858925985768	8.58552072678597	9.04258986802219e-18	2.58749250420749e-17
SACI_RS00055	1753.21893725417	0.47	0.11824983505921	3.95604187547985	7.62018092844874e-05	0.000131795346008786
SACI_RS00060	1246.52548019075	0.06	0.0696103772536373	0.929070752682574	0.352852420483753	0.415726459167267
SACI_RS00065	878.875755341969	0.84	0.166711428215763	5.0309231695968	4.88123740455475e-07	9.50001359611514e-07
SACI_RS00070	4683.02379951652	0.48	0.0878148047209726	5.50738235864601	3.64208636978395e-08	7.51314056657546e-08
SACI_RS00075	391.776396621922	-1.49	0.0994885789579951	-15.0079928848418	6.50875878804908e-51	4.36111681390082e-50
SACI_RS00080	285.35026981973	-0.45	0.129864112941883	-3.42690940897693	0.000610492701026102	0.000990956945586059
SACI_RS00085	1329.02518179069	-1.55	0.0802246238931107	-19.3830674175107	1.07258974520931e-83	1.43735213566027e-82
SACI_RS00090	1005.60965822049	-0.61	0.117973700614249	-5.14559314192111	2.66676842649784e-07	5.26789685224929e-07
SACI_RS00095	1891.04309114091	-0.57	0.139855960376561	-4.08278288399278	4.44995936506023e-05	7.81190366536323e-05
SACI_RS00100	582.955631578543	2.01	0.157929788538082	12.7456025313811	3.29832604727082e-37	1.59290546794606e-36
nadA	12210.8503005416	3.00	0.170635964996742	17.5529207555954	5.64983563645767e-69	5.71659161948209e-68
SACI_RS00110	4307.43480692953	-2.84	0.0754074203338839	-37.6873211757869	0	0
SACI_RS00115	2290.92507657368	-1.58	0.0904077348563152	-17.4534573882892	3.24013040910449e-68	3.1865820353966e-67
SACI_RS00120	134.469388890483	-1.15	0.151328585562622	-7.57613799259651	3.55993160743469e-14	9.19714486659543e-14
SACI_RS00125	4274.73233233156	-0.05	0.0966655574945946	-0.49825789395457	0.618302281501952	0.674179910047625
SACI_RS00130	1016.10436161082	-0.27	0.103384588258969	-2.64059631987623	0.00827602639502969	0.0122656861794738
SACI_RS00135	19434.7406945321	-0.08	0.147424848914175	-0.513330060725538	0.60772045961721	0.664913223345598
SACI_RS00140	1271.27725549335	-0.45	0.100880533100076	-4.48226492424855	7.38549781148334e-06	1.3590399798804e-05
SACI_RS11510	4684.02624598699	1.42	0.115000520718525	12.3827244733845	3.24149019012089e-35	1.47803533214473e-34
SACI_RS00145	1815.50335061902	1.30	0.169206181716063	7.69977483970848	1.36306196131301e-14	3.57676423480566e-14
SACI_RS11515	391.41891809904	0.78	0.103729161298434	7.54237788507307	4.61478186929652e-14	1.18699627421979e-13
SACI_RS00150	296.722540571468	0.24	0.125262394023058	1.94619446859018	0.0516313841212646	0.0707011660100468
SACI_RS00155	9785.19427056326	0.66	0.0799141323287364	8.28970094935667	1.13533553502678e-16	3.16111265938066e-16
SACI_RS00160	310.639965980335	-1.93	0.137614921254586	-14.0106621029095	1.3414845402184e-44	7.77219838400461e-44
SACI_RS00165	13356.2363888238	1.73	0.069314434149374	25.0131543256737	4.39739790261492e-138	1.86015229350373e-136
SACI_RS00170	748.035761873101	-0.32	0.0925808736942814	-3.45203735702511	0.000556370690927811	0.000904778830869636
SACI_RS00175	1412.69857563109	0.83	0.11097574086031	7.4593039723914	8.69807307680635e-14	2.21778755066573e-13
trxA	3010.93960059609	2.41	0.193044123497835	12.4928625188216	8.16616804081571e-36	3.80762496564462e-35
SACI_RS00185	959.166910975222	0.13	0.0671956653757698	1.88857241345627	0.0589491463617994	0.0801279337500107
SACI_RS00190	2400.85711760397	1.59	0.0811920932537147	19.5683375548113	2.87921219940942e-85	3.97988741422302e-84
SACI_RS00195	36524.3808878683	3.61	0.156649166738519	23.0184080337106	3.04937778758042e-117	8.36434797827722e-116
SACI_RS00200	4650.82977075855	1.91	0.129488383243301	14.7749465832044	2.12525634599923e-49	1.36913303317491e-48
SACI_RS00205	96668.41686402	1.27	0.139165128173852	9.15239558954345	5.56847533721095e-20	1.68687807669954e-19
SACI_RS00210	1553.06730560056	0.42	0.0655430420248004	6.34830298801151	2.17702998650386e-10	4.90915368183369e-10
SACI_RS00215	18191.2002406017	1.80	0.0728446179558055	24.6449627075546	4.16745460988123e-134	1.57332614357989e-132
SACI_RS00220	954.297816364792	-0.46	0.11654221672462	-3.96274950913829	7.40915083798234e-05	0.000128271837239428
SACI_RS00225	1628.8400451396	-1.55	0.1197842670554	-12.9206134484003	3.44384757194425e-38	1.71265564094848e-37
SACI_RS00230	7589.83661180493	-1.75	0.202351138367129	-8.63394613745972	5.92709174008003e-18	1.70294755314411e-17
SACI_RS00235	5521.95536179562	-1.49	0.183644335192648	-8.13990610707646	3.95584551831786e-16	1.08001350037434e-15
SACI_RS00240	10480.6226849671	-1.03	0.126729765779682	-8.09727186414546	5.62053724154954e-16	1.53212005086028e-15
SACI_RS00245	65148.0772261978	0.41	0.0848727488238782	4.83105234255318	1.35813290702879e-06	2.59011658695171e-06
SACI_RS00250	5291.74992248695	0.31	0.0850856809179589	3.69319423455624	0.000221454744254169	0.000372379122163021
SACI_RS00255	4594.41895989237	0.44	0.0732358326120266	6.03507886819622	1.58885068198158e-09	3.464878723253e-09
SACI_RS00260	4225.02668891452	-1.05	0.107081886591011	-9.82317248555123	8.94822552110422e-23	2.91710490293379e-22
SACI_RS00265	4188.51122604108	-2.44	0.159779374899049	-15.2889711248074	9.0569698593024e-53	6.37254933386989e-52
SACI_RS00270	254.392435145922	-1.70	0.136399158609745	-12.4837037533014	9.16233720508103e-36	4.26644110438189e-35
meaB	1129.31429418821	0.48	0.108094152114685	4.43381384101402	9.25805744064461e-06	1.69562022295791e-05
SACI_RS00280	1355.67872659918	1.19	0.106064280546498	11.2535589623657	2.22431975365904e-29	8.75514199001894e-29
SACI_RS00285	1.04288317279481	2.51	1.44642716449467	1.73796802818903	0.0822164474901729	0.109052492307517
SACI_RS00290	162515.719010128	0.59	0.141126310649436	4.18563920673381	2.84364727736995e-05	5.05521295739033e-05
SACI_RS00295	659.477356366915	0.74	0.10998312896153	6.7002379725367	2.08080398152007e-11	4.93628566156551e-11
SACI_RS00300	182.262496709612	1.14	0.308043485314551	3.70993075646515	0.000207315941561867	0.000348771572028613
lysS	7785.33392146109	-1.72	0.0868560843576294	-19.7888663141524	3.71299836799592e-87	5.36474784775048e-86
SACI_RS00310	2007.77834342538	-0.96	0.076671656323018	-12.555422339648	3.71195342706965e-36	1.74466780220101e-35
SACI_RS00315	453.273902437023	-0.71	0.125656243888535	-5.66973777212564	1.43016243805098e-08	2.99958203106152e-08
SACI_RS00320	517.078960706267	-1.77	0.0947976881901479	-18.6478929096584	1.31352895081758e-77	1.52204625291106e-76
SACI_RS00325	1813.67522813699	0.06	0.0683006123653505	0.8120414359378	0.416767855690063	0.480530816721673
SACI_RS00330	2524.28786183643	1.04	0.0814268167699166	12.8100430575804	1.44054607158855e-37	7.05405475222791e-37
rimI	3917.85155512565	0.74	0.0748715144302935	9.93899442734216	2.81655901847121e-23	9.39120485646004e-23
SACI_RS00340	2755.30698399449	-0.39	0.0874558365737809	-4.50766780315833	6.55440895859249e-06	1.20864127382449e-05
dnaG	41090.1040412698	1.32	0.10559290735299	12.4686463780501	1.10690354188991e-35	5.14065917404162e-35
SACI_RS00350	12430.5707004683	0.43	0.0677030211351532	6.39434010309148	1.61242178229004e-10	3.66421545477043e-10
SACI_RS00355	10004.2331862559	1.98	0.128825992897708	15.3942725614418	1.78824217744701e-53	1.27872062831292e-52
SACI_RS00360	2923.06023237704	0.40	0.0824857629042131	4.79427778901343	1.63261916571674e-06	3.09677249639733e-06
SACI_RS00365	1547.69891838763	-0.33	0.0920392608675729	-3.59344479540374	0.000326334813431904	0.000540453551867649
SACI_RS00370	9047.49793066015	-0.02	0.157867560356093	-0.110693211144963	0.911859629617506	0.926639409431856
SACI_RS00375	8177.0433562799	-0.73	0.172196290752091	-4.25547166881724	2.08608779536014e-05	3.7425928714918e-05
SACI_RS00380	3778.73987120828	-1.45	0.173825638867792	-8.33174072876741	7.96622573751101e-17	2.22686453538226e-16
SACI_RS00385	4935.64448975962	-2.72	0.202919248111842	-13.4021011648589	5.87752741255872e-41	3.08460369887798e-40
SACI_RS00390	10034.902437288	-0.92	0.119280514055055	-7.70008066169092	1.35980366521189e-14	3.57088307296855e-14
SACI_RS00395	8239.29546129685	-1.30	0.116079642456475	-11.1924251787468	4.44117537011333e-29	1.72871027987449e-28
SACI_RS00400	13410.334345773	-0.08	0.0613684691228312	-1.29384123521223	0.195720266143839	0.245247952931643
SACI_RS00405	5581.66493956443	-0.10	0.0931849037709634	-1.10400720527984	0.269590012138233	0.326164897524926
rpsB	17587.5347487315	-0.38	0.0674035103691693	-5.70022581539383	1.19648829083921e-08	2.52001822983591e-08
amrB	3195.55949415867	-1.23	0.102577474421891	-12.0292951894321	2.4927966895165e-33	1.07918732144173e-32
SACI_RS00420	386.630044028329	-1.60	0.138279929404652	-11.5686949729404	5.9378961273587e-31	2.44407424421529e-30
fni	3038.0199139282	-1.14	0.148143406223747	-7.67518735602259	1.65177048671637e-14	4.32465785149975e-14
SACI_RS00430	4036.14671807923	-1.32	0.143347426855129	-9.20292531955274	3.48334983051409e-20	1.06071476625629e-19
SACI_RS00435	759.12369785312	-2.47	0.116454968965275	-21.1911034880121	1.1536182305813e-99	2.18938032841672e-98
