Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	468.168689227569	0.64	0.393268044674287	1.61623744683508	0.106042985394614	0.213597631308039
SACI_RS00010	63.3223552647603	-0.34	0.421943234551168	-0.801954317324021	0.422579384133422	0.578589796298959
SACI_RS00015	12453.5485697674	1.75	0.244864219047988	7.13951259740481	9.36624350025228e-13	6.01493129748998e-11
SACI_RS00020	249.48994087617	0.89	0.228009970990762	3.91484591036825	9.04619615708048e-05	0.000696581753131047
SACI_RS00025	1260.55686285285	0.92	0.159574608132371	5.74408524959462	9.24192212897519e-09	2.51568387108039e-07
SACI_RS00030	329.223358222713	-0.04	0.572017464817431	-0.0653017568929948	0.947933743533877	0.966399985291031
SACI_RS11965	179.735149618192	1.66	0.329006924118039	5.05533164845334	4.29643485596823e-07	7.27049395387199e-06
SACI_RS00035	404.718125314663	0.17	0.154072617618936	1.0828304935321	0.27888366785704	0.431612949268344
SACI_RS00040	430.987299495675	0.13	0.167994456844937	0.755725421988843	0.449813838762186	0.605320908734256
SACI_RS00045	1230.53942180845	0.89	0.164202845777782	5.44390079460869	5.21262579887221e-08	1.13314465443176e-06
SACI_RS00050	88.2839744226457	0.33	0.250589118617074	1.30464063488308	0.19201524474773	0.328272886664904
SACI_RS00055	668.466191331748	-0.26	0.229591270547831	-1.12028583606897	0.262591975887591	0.414109890545944
SACI_RS00060	277.042067235515	-0.84	0.194513697575909	-4.31623067776363	1.58716118281047e-05	0.000162511503718202
SACI_RS00065	173.870015165131	0.74	0.266243856761652	2.79067628137301	0.00525980493396747	0.0196616517769736
SACI_RS00070	326.00465998238	-0.73	0.248647350116696	-2.95082118716192	0.00316930337641027	0.0133075335720025
SACI_RS00075	182.955004898837	-0.68	0.214974526368171	-3.16826018982316	0.00153354207049138	0.00725927954976323
SACI_RS00080	209.403119005928	0.09	0.333702840828785	0.267224875300861	0.789296024616719	0.862882230393365
SACI_RS00085	753.547115173251	0.41	0.242111424616095	1.68293381677652	0.0923879042514932	0.191898426190142
SACI_RS00090	347.318778690993	0.48	0.173260168896851	2.76419596074589	0.0057063258369578	0.0208616776393826
SACI_RS00095	457.949905534195	-1.03	0.186009705388525	-5.53273963528724	3.15267281846097e-08	7.42454448747558e-07
SACI_RS00100	28.2622806828564	0.06	0.360736611726508	0.177676746489113	0.858976848267134	0.910186941583397
nadA	1170.45746617164	0.26	0.629046985087515	0.41924366272124	0.675038064962562	0.788738819181879
SACI_RS00110	2356.54284277549	0.22	0.142525858344544	1.56723823302238	0.117059016862185	0.228301436613206
SACI_RS00115	1842.42052521868	0.24	0.165317894551247	1.42560513503987	0.153982353178795	0.280563591285154
SACI_RS00120	188.842554361665	0.22	0.158758997411269	1.36004423622577	0.173815925780152	0.306236786941838
SACI_RS00125	624.543179442781	0.11	0.120825929914947	0.92543035948977	0.354742092861371	0.509919203675603
SACI_RS00130	156.476268058044	-0.09	0.242038613930319	-0.372128760142354	0.709796984057038	0.815963703138612
SACI_RS00135	1447.84633780519	-1.12	0.23534828556501	-4.75221944461952	2.01195834644167e-06	2.88618999342343e-05
SACI_RS00140	324.111819277727	-0.35	0.238310719945709	-1.47463384415808	0.140311010791777	0.262595308938782
SACI_RS11510	396.735650168459	-0.17	0.135984248368409	-1.22172779157588	0.221810582912919	0.365076707811246
SACI_RS00145	74.4654673375098	-0.00	0.30395134851412	-0.00046141841582071	0.99963184138301	0.99963184138301
SACI_RS11515	24.3957235630814	-0.25	0.374298576112897	-0.657856987557532	0.51063003154998	0.660975131016089
SACI_RS00150	113.628896073786	-0.10	0.241585607234645	-0.394558671892389	0.693168618971962	0.801839753260239
SACI_RS00155	482.191973746233	1.16	0.183595744894916	6.30980166494337	2.79393280224614e-10	1.09661862488161e-08
SACI_RS00160	394.823725028823	-0.26	0.19263153982474	-1.32624859982533	0.184757366168034	0.319323230630257
SACI_RS00165	1996.93749791646	-1.34	0.237932382507473	-5.62285818007956	1.8782359324459e-08	4.73919173668939e-07
SACI_RS00170	193.427530109173	-1.44	0.331354588244271	-4.34844050221086	1.37109003121956e-05	0.000145665429632574
SACI_RS00175	791.660557960512	-0.09	0.246520965504203	-0.384865765700835	0.700336870876491	0.80781714167223
trxA	502.905292192285	-0.57	0.199084848737909	-2.87595958890783	0.0040280127735887	0.0159416048810132
SACI_RS00185	234.530873881454	-1.11	0.25543980537914	-4.34870194974675	1.36945677342616e-05	0.000145665429632574
SACI_RS00190	290.718340944265	0.24	0.182233884482919	1.32655134482658	0.184657139823049	0.319323230630257
SACI_RS00195	864.550251648356	3.21	0.594833896883238	5.38876158085262	7.09448469828381e-08	1.46343166112044e-06
SACI_RS00200	592.933613865219	-0.04	0.139508703195416	-0.265015915620902	0.790997201162868	0.863421114273286
SACI_RS00205	7579.06796187985	0.52	0.270634407546311	1.91783279513544	0.0551322159318094	0.127707903461716
SACI_RS00210	87.8251490264537	1.39	0.418825701114347	3.31817930894583	0.000906062993405316	0.00479500752689779
SACI_RS00215	1350.13262341919	0.26	0.151161033224062	1.69163020293448	0.0907165040284376	0.189338877684169
SACI_RS00220	525.298202611742	0.69	0.412434560221212	1.67292857025673	0.0943413586307931	0.195031952809525
SACI_RS00225	618.162315092113	0.87	0.28882451316245	3.02692491763674	0.0024705531565203	0.0107577553471901
SACI_RS00230	781.888922493656	0.64	0.337684515036693	1.89981241093027	0.0574577416387833	0.131914143731451
SACI_RS00235	1055.19191058408	0.59	0.24955668123335	2.36971620819739	0.0178017434026553	0.051073834371476
SACI_RS00240	2512.84152803854	0.37	0.222612893380455	1.67390458208131	0.0941493535370097	0.194777505926493
SACI_RS00245	14535.7821158324	-0.52	0.342457095123759	-1.53017065571374	0.125974492788038	0.241850486833558
SACI_RS00250	444.979553536834	0.62	0.256055585882363	2.40823543488455	0.0160298399085929	0.0472370464876783
SACI_RS00255	430.030559071992	0.20	0.188464932770518	1.08142018948845	0.279510244829635	0.431873128424576
SACI_RS00260	2481.00530469041	-0.76	0.276276098401323	-2.76255014334395	0.00573517515990425	0.0208860889199606
SACI_RS00265	2215.09995332082	-0.18	0.20042397567353	-0.90925912617492	0.363213360624694	0.517620250693588
SACI_RS00270	276.239147290746	0.39	0.226740821242284	1.74161258873069	0.0815762570576614	0.174515141896254
meaB	242.200639330816	-0.09	0.232851958625345	-0.3878271381411	0.698143961007532	0.80627496273285
SACI_RS00280	147.666801787706	0.11	0.219466678856775	0.496041846652901	0.619864886986895	0.74510343284771
SACI_RS00285	0.706279620530141	1.12	3.43085320278312	0.326845172489504	0.743784991402306	NA
SACI_RS00290	5400.52019572297	0.52	0.401875348089282	1.29642518061856	0.194829041465635	0.332078933161571
SACI_RS00295	70.9394564349019	-0.26	0.343540168277932	-0.767407448546381	0.442839301310338	0.598526421303542
SACI_RS00300	32.9742636724021	1.18	0.581852461244211	2.03445456732366	0.0419057849037852	0.102870707735325
lysS	4808.55322268031	1.08	0.265991207191465	4.06099522441335	4.88639711462464e-05	0.000422292301098753
SACI_RS00310	1049.61668450472	0.07	0.155267237929401	0.424955824754884	0.670868878078	0.78634402714576
SACI_RS00315	144.779512340932	0.81	0.185778377386417	4.35011873102925	1.36063839454663e-05	0.000145650155416241
SACI_RS00320	134.819757065132	0.11	0.212028381881377	0.534136749206119	0.593246925999842	0.722329521044315
SACI_RS00325	311.299982358879	-0.01	0.167441174852313	-0.0486597073317764	0.961190486705705	0.975911360578115
SACI_RS00330	168.542847240591	-0.05	0.156428442973898	-0.326563497504776	0.74399805584184	0.834906257817326
rimI	1439.95834076715	0.15	0.186689983626554	0.790245544538442	0.429384382369646	0.585054749870885
SACI_RS00340	1186.71660808931	0.19	0.132156628321211	1.46520333245992	0.142865450680826	0.266142230470675
dnaG	5389.8127856451	0.55	0.19007042987295	2.87454870872364	0.00404605355939277	0.0159416048810132
SACI_RS00350	1804.65423395678	-0.02	0.121543366060063	-0.129090501954573	0.897286037466435	0.935034740408613
SACI_RS00355	1129.76876277228	0.87	0.240264348538811	3.63251845797403	0.000280668492489495	0.00180676346190276
SACI_RS00360	289.521508402889	0.91	0.248175935125201	3.6723585469065	0.000240322179849477	0.00159660275046237
SACI_RS00365	92.8107373572309	0.78	0.243519819347763	3.21681066098531	0.00129624112568643	0.00635968302289906
SACI_RS00370	543.061678803214	-0.20	0.236414918089354	-0.85791768360001	0.390937918858415	0.546715026981061
SACI_RS00375	599.099200500796	-0.36	0.237426612760274	-1.52872093686805	0.126333639674688	0.242046688624182
SACI_RS00380	755.636725226349	-0.11	0.235247771817637	-0.469337006500367	0.638828767475513	0.760459181502022
SACI_RS00385	1258.93482282447	-0.04	0.23295474203808	-0.163952410030239	0.869768608039421	0.916875090983462
SACI_RS00390	613.839080992461	-0.51	0.250972437815794	-2.04895382658152	0.0404666301705564	0.099702438414989
SACI_RS00395	1147.45462139526	-0.32	0.210606126418792	-1.50029491748902	0.133538025425583	0.252427063446621
SACI_RS00400	1324.52995875071	-0.30	0.169454135984009	-1.76238520249204	0.0780042370577998	0.1691787981008
SACI_RS00405	461.554640068221	-0.45	0.207092204258302	-2.17887652530694	0.0293408420829472	0.0770606131286328
rpsB	3120.16327405029	-0.30	0.157082707293364	-1.92619587847085	0.0540799202698731	0.125889501386047
amrB	2129.39487629671	-0.06	0.208927141168429	-0.277280392509144	0.781564814038968	0.859082911114011
SACI_RS00420	430.339854597327	0.16	0.255436649067029	0.624524162443437	0.532283407156248	0.678805464180305
fni	758.033267126109	-0.44	0.13679822151728	-3.22855032028356	0.0012441936735557	0.00617942235758947
SACI_RS00430	1384.80892018535	-0.69	0.261063194240094	-2.64644329485766	0.00813431417232251	0.0276292930901243
SACI_RS00435	658.092537790772	-0.35	0.296015111302782	-1.17153804290948	0.241382575529978	0.388909440392085
SACI_RS00440	332.963631738944	-0.55	0.22136347177393	-2.47287547650565	0.0134030835207886	0.0408158556355051
ffs	5607.55438123303	1.31	0.316382729508916	4.1253584337856	3.70157815199636e-05	0.00034297245434563
SACI_RS00450	2.16886369734004	0.21	1.0772435499099	0.193856586899819	0.846288177408042	0.901134283856491
SACI_RS00455	16873.9864144599	-1.31	0.518105955172259	-2.51930344963492	0.0117587269522238	0.0367184114552316
SACI_RS00460	9074.27189185904	-0.90	0.504105534402442	-1.79332056781317	0.0729216804794357	0.160119664921719
SACI_RS00465	1712.83501611488	-0.71	0.501438690439039	-1.40696823420267	0.159436808413198	0.287719297941059
SACI_RS00470	428.590574647341	0.01	0.192131517666772	0.075063969303648	0.940163815245251	0.962465151140353
SACI_RS00475	154.408037812297	-0.13	0.356508368149765	-0.353795533026438	0.723492121393152	0.824098643715054
SACI_RS00480	2403.60748892495	0.67	0.194917133443741	3.41554499053304	0.000636545130856649	0.00355372614551303
SACI_RS00485	83.5728206718615	-0.01	0.329402090383264	-0.0226463065893693	0.981932405969597	0.991118492368916
SACI_RS00490	223.930162148277	0.67	0.235994581816497	2.83936943985444	0.00452027888581474	0.0174515990009672
SACI_RS00495	106.841802883251	1.11	0.275943363654725	4.04003493561676	5.34432400760865e-05	0.000456561872735615
SACI_RS00500	407.228735722563	1.20	0.266368332694397	4.49192126284349	7.05835203303264e-06	8.2767231723445e-05
