Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	2337.79907321818	0.21	0.258725624264755	0.826515652371828	0.408511642750768	0.545945571776238
SACI_RS00010	344.011382240724	-0.27	0.2463502922258	-1.0871228978402	0.276982499562612	0.413166601103528
SACI_RS00015	5480.24519330658	0.22	0.139834031464775	1.58718741194259	0.112470204912953	0.21316578311019
SACI_RS00020	128.719392751467	-0.49	0.204382623197507	-2.39466619122811	0.0166355026078512	0.0483875506056287
SACI_RS00025	1096.43551878529	-0.30	0.0951373160766528	-3.17229264399718	0.00151240519972089	0.00636670702245911
SACI_RS00030	183.063712194577	0.22	0.260135058406343	0.854269211195089	0.39295584246389	0.530290307976729
SACI_RS11965	239.185042152751	-0.35	0.284469926115458	-1.23721220701325	0.216008310819375	0.34521733417491
SACI_RS00035	401.929582330919	-0.45	0.149289470349114	-2.98823685603178	0.00280592009455791	0.010709692711141
SACI_RS00040	464.197942480944	-0.40	0.161952553356219	-2.46490042153988	0.013705133385262	0.041352556380121
SACI_RS00045	1396.08697900936	-0.42	0.178334228575726	-2.35984987833511	0.0182823317456287	0.0520355370045257
SACI_RS00050	113.974195116508	0.42	0.221756452210454	1.88345405221249	0.0596388610926477	0.131898228838412
SACI_RS00055	673.445826787138	-0.48	0.137359154169051	-3.51119277731362	0.000446100768461711	0.00221776253099662
SACI_RS00060	207.265129736488	-0.18	0.17455067500212	-1.03235034818358	0.301908022864977	0.438501218654831
SACI_RS00065	202.322776228806	-0.95	0.163879919670051	-5.77599804608672	7.64982610564698e-09	1.20113146388666e-07
SACI_RS00070	491.56992351645	0.06	0.16082315860176	0.348728136633369	0.727293418775572	0.81457846396331
SACI_RS00075	165.230870137534	-0.36	0.183693959854009	-1.98066880099074	0.0476284277429636	0.110499286493304
SACI_RS00080	269.289853506432	-0.96	0.177800081597717	-5.41616334791746	6.08914758241482e-08	8.23401875124094e-07
SACI_RS00085	865.384897617083	-1.18	0.137033030452827	-8.62287163124066	6.529563880138e-18	4.25423566099187e-16
SACI_RS00090	717.708217844961	-0.95	0.124327846472396	-7.6339835207339	2.27609020621854e-14	9.79309980935329e-13
SACI_RS00095	467.835314821487	-0.18	0.139291060355894	-1.30234552340665	0.192798296189416	0.318256479957916
SACI_RS00100	83.1354760963448	0.47	0.248447406549724	1.87601320170492	0.0606534671287536	0.133518230297382
nadA	1136.5246668017	-0.17	0.252806564232279	-0.691650550318596	0.489156808113624	0.620910538421624
SACI_RS00110	1231.35053490159	-0.33	0.120204585060885	-2.77339096593869	0.0055475427224094	0.0192652086366272
SACI_RS00115	1182.11638426997	-0.52	0.0992977036319174	-5.24804762378759	1.53719565125091e-07	1.89815122003863e-06
SACI_RS00120	122.341166899158	-0.80	0.200130995225457	-3.97643936431605	6.99548255103335e-05	0.000428392489677883
SACI_RS00125	869.399603455567	-0.55	0.111062706520861	-4.94844332009055	7.48093676879699e-07	7.74510734844514e-06
SACI_RS00130	221.81949181405	-0.08	0.205392476643579	-0.382311536168367	0.702230298822467	0.795652865936674
SACI_RS00135	4582.61266660818	0.15	0.0939790034210858	1.60538670090072	0.108408729321439	0.208114859593502
SACI_RS00140	599.459266458724	0.17	0.172903014917596	0.967684785786065	0.333201818708841	0.470256927781982
SACI_RS11510	726.022180357939	-0.60	0.121275369736424	-4.94896119339655	7.46106196282226e-07	7.74510734844514e-06
SACI_RS00145	190.239757754879	-0.49	0.156955430790863	-3.13451422279625	0.00172138908921376	0.00707563530094938
SACI_RS11515	80.1947353796453	-0.31	0.247165512154901	-1.26974135855529	0.204176775349957	0.331030767359939
SACI_RS00150	90.2127728767832	-0.33	0.230706956581544	-1.44107866880569	0.149562459114673	0.263240094757649
SACI_RS00155	1613.11832502153	-0.41	0.113299048639543	-3.60484124223262	0.000312343803090502	0.00162193576745899
