Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	903.020269503403	0.47	0.195767444158014	2.41203893361279	0.015863587434269	0.0348612006787228
SACI_RS00010	88.8607310711948	0.38	0.33939151940019	1.1159436019482	0.264446276453435	0.387267119194709
SACI_RS00015	8733.69606072981	0.42	0.132330389366031	3.2015153426047	0.00136706794783587	0.00384614588914946
SACI_RS00020	92.5286055408421	0.08	0.129745182277832	0.580810695449837	0.561368045874588	0.677098539937086
SACI_RS00025	726.91828239003	0.53	0.0881488033779177	5.99010209142866	2.09709353922264e-09	1.31900961873619e-08
SACI_RS00030	165.120590335402	-0.12	0.228991555269144	-0.528371081301244	0.597241805012509	0.706883239824329
SACI_RS11965	243.706270472759	0.63	0.214413043142042	2.9167881014773	0.00353655943732941	0.00909112711279258
SACI_RS00035	293.376566553929	-0.09	0.11024801092162	-0.826467869788252	0.408538737109586	0.535993304893684
SACI_RS00040	349.1749637144	-0.06	0.0870931718048632	-0.69254619155795	0.488594388349302	0.612484930647265
SACI_RS00045	506.517517975784	-0.82	0.159540895720699	-5.16648252166916	2.38540497744415e-07	1.15551069068666e-06
SACI_RS00050	95.9895089983229	0.09	0.160372534073212	0.546395112007106	0.584794369351147	0.695577197076413
SACI_RS00055	625.872530432932	0.23	0.137420332475737	1.67216021894	0.0944927325993205	0.16661047372209
SACI_RS00060	254.821323588962	-0.42	0.176826348474965	-2.37097906124106	0.0177410361144486	0.038587021216942
SACI_RS00065	197.485760481112	0.19	0.155143673717627	1.2533997450957	0.210060264203317	0.321195244882797
SACI_RS00070	167.377582918363	-0.31	0.202262907823088	-1.51561359179739	0.129617088200914	0.215371132261915
SACI_RS00075	84.1199024653277	-0.60	0.163283226003513	-3.65730511805435	0.000254880911254837	0.000822373146072009
SACI_RS00080	212.565391862195	0.09	0.191948239891762	0.488359744105377	0.625295050527858	0.731914050699059
SACI_RS00085	756.57619160701	0.28	0.163662454190166	1.73755748441126	0.0822888167434832	0.147430786851977
SACI_RS00090	614.283774689058	0.52	0.0686065569450471	7.56112610810867	3.99594589739485e-14	3.81999708599762e-13
SACI_RS00095	342.955519739607	-0.20	0.114545594128396	-1.76631706042582	0.0773426709593149	0.139511004072758
SACI_RS00100	36.3069031130462	-0.79	0.226692180109985	-3.46389308455439	0.000532418077182031	0.00162337965326907
nadA	279.768099387866	0.13	0.441390588193737	0.29466853332364	0.768247103157331	0.842850094301071
SACI_RS00110	663.455991045306	-0.56	0.233314766875084	-2.39980718673562	0.0164037097725727	0.0359604440513091
SACI_RS00115	495.861845386392	0.02	0.143112546386623	0.152384353928456	0.878883796717435	0.920123381614024
SACI_RS00120	67.5603715701358	0.19	0.33194033968549	0.582002532290453	0.560564975184605	0.676566408629645
SACI_RS00125	348.408977012744	0.16	0.153628587835813	1.05874664873824	0.289715176817292	0.41665343066621
SACI_RS00130	58.0202772310638	-0.97	0.193067327858675	-5.03939507687214	4.67005566437674e-07	2.17453237912323e-06
SACI_RS00135	462.38562185734	-0.86	0.242513660438524	-3.56278153897538	0.000366946034801007	0.0011499769647155
SACI_RS00140	225.236643087511	-1.22	0.123904073580205	-9.80879089222715	1.0319763883763e-22	1.93710567901468e-21
SACI_RS11510	490.998197857966	0.45	0.117030258373567	3.80244557285336	0.000143274748923905	0.000483032923406693
SACI_RS00145	159.078108261106	0.17	0.282761552412799	0.607507967522598	0.543513856691475	0.661764844431107
SACI_RS11515	80.1955274595195	0.29	0.160263418346143	1.80472827203606	0.0711172134410025	0.129644126070497
SACI_RS00150	99.3006568873677	0.45	0.161355668367101	2.81258898554166	0.00491444235774918	0.0122318026639006
SACI_RS00155	1277.69623566402	0.81	0.10974070908555	7.37505691163475	1.6427486205657e-13	1.48755427852231e-12
SACI_RS00160	159.796349317952	-1.02	0.160928607300904	-6.3133348447977	2.73085738349714e-10	1.8746685733569e-09
SACI_RS00165	569.943973721854	-0.35	0.105240587645072	-3.33657840715988	0.000848165007325592	0.0024912686930737
SACI_RS00170	85.7903438812606	-0.34	0.133629592440368	-2.57275013677655	0.0100894018521516	0.0234443612347869
SACI_RS00175	396.675431203252	0.66	0.151454610918042	4.36208037556021	1.28831520220146e-05	5.03588718951633e-05
trxA	348.493582187079	0.23	0.154401403303602	1.48637965552441	0.137178727958764	0.225338256865718
SACI_RS00185	114.179682576916	-0.79	0.115481224765643	-6.83301072684917	8.31507356472207e-12	6.54312775704331e-11
SACI_RS00190	350.133542262484	0.80	0.102189523081287	7.80628683226124	5.88974549175155e-15	5.97933598655566e-14
SACI_RS00195	3975.66436258006	1.10	0.323424207641853	3.39362654421093	0.000689736831280058	0.00206120359861802
SACI_RS00200	476.564896340016	0.11	0.104629385285002	1.06467694474912	0.287022146710532	0.413936701378455
SACI_RS00205	5453.13793440432	1.16	0.301931032982984	3.85621920471618	0.00011515423452528	0.000393075623369171
SACI_RS00210	155.13542832795	0.79	0.300418126099606	2.61332392110572	0.00896662737708155	0.0211075931201841
SACI_RS00215	1252.524822309	-0.33	0.132520582541419	-2.46119544845413	0.01384749070791	0.0309977369635452
SACI_RS00220	1017.91226423718	1.48	0.165502683878108	8.96096549444879	3.21847768708061e-19	4.56669038749547e-18
SACI_RS00225	534.106454782044	0.61	0.247788995571746	2.48139837566208	0.0130868021105488	0.0295149153982591
SACI_RS00230	1864.91026490058	1.05	0.420527352812111	2.50114049356252	0.0123794057770895	0.0281485037354136
SACI_RS00235	1616.04388986381	1.39	0.427554230251321	3.25667849093624	0.00112724033366364	0.00321885298679489
SACI_RS00240	3767.6811506105	1.08	0.204768989958287	5.25877360737698	1.45019292807692e-07	7.16940372124723e-07
SACI_RS00245	5420.04262012175	0.30	0.219252618233625	1.3468658149194	0.17802345316646	0.27944099530136
SACI_RS00250	645.923647367115	-0.18	0.279051058802474	-0.637312538665278	0.523921285230962	0.644441062106617
SACI_RS00255	470.180270028281	0.40	0.101947888057001	3.92415191677495	8.70358021675549e-05	0.000303950611445608
SACI_RS00260	1446.25073112236	-0.46	0.115604364474812	-3.99672803526964	6.42240137430231e-05	0.000227818253474267
SACI_RS00265	815.985247941003	-1.82	0.228084771259499	-7.96227583745447	1.68903421066411e-15	1.79037626330396e-14
SACI_RS00270	164.686648039619	0.21	0.126318945302749	1.67252152378982	0.0944215271946797	0.16661047372209
meaB	246.573402185002	0.75	0.209162627727113	3.60262005010152	0.000315025830898449	0.00100031109652688
SACI_RS00280	201.941151659012	0.69	0.14377693315324	4.82494240495244	1.40043730903254e-06	6.16260813400888e-06
SACI_RS00285	2.16674809410815	-0.23	0.75635843775156	-0.297806679245035	0.765850716441145	0.840989025610569
SACI_RS00290	20052.8665241572	0.48	0.209957867617797	2.26419786706785	0.0235619477204096	0.0499513291672683
SACI_RS00295	85.8815463855313	-0.97	0.217916363577544	-4.42997926255148	9.42421502042319e-06	3.75717598823066e-05
SACI_RS00300	1224.10412776876	-0.74	0.999833323661678	-0.735623265235247	0.461959999961221	0.585613724801379
lysS	3691.2565156208	1.11	0.318162281071007	3.49562768950281	0.000472948102955164	0.00145435577052083
SACI_RS00310	849.343944644431	0.63	0.151440341617506	4.16735070330378	3.08160209949364e-05	0.000114732375687759
SACI_RS00315	182.482310012573	0.16	0.116936628724182	1.33048231652911	0.183359408890328	0.286941949474921
SACI_RS00320	118.13161686373	-0.90	0.145982858929383	-6.19546450061235	5.81133898464867e-10	3.83590946898788e-09
SACI_RS00325	273.325989826118	-1.31	0.110993381689161	-11.8420203700722	2.36681708067674e-32	8.53000875875895e-31
SACI_RS00330	166.273710199532	-0.25	0.132533834921997	-1.84967700383059	0.0643601168587219	0.119502246861841
rimI	847.82328932075	0.36	0.0935187840732755	3.80410869486334	0.00014231568393152	0.000480248806076028
