arCOG	Code	Product	Function
arCOG01706	C	AceF	Pyruvate/2-oxoglutaratedehydrogenasecomplex,dihydrolipoamideacyltransferase(E2)componentorrelatedenzyme
arCOG01671	H	UbiD	3-polyprenyl-4-hydroxybenzoatedecarboxylaseortrans-anhydromevalonatedecarboxylase
arCOG01697	C	AcnA	AconitaseA
arCOG01674	C	AcyP	Acylphosphatase
arCOG01926	C	CoxM	Aerobic-typecarbonmonoxidedehydrogenase,middlesubunitCoxM/CutMhomolog
arCOG01925	C	CoxS	Aerobic-typecarbonmonoxidedehydrogenase,smallsubunitCoxS/CutShomolog
arCOG05375	C	-	ArchaealsuccinatedehydrogenasesubunitD
arCOG00868	C	NtpA	Archaeal/vacuolar-typeH+-ATPasesubunitA
arCOG00865	C	NtpB	Archaeal/vacuolar-typeH+-ATPasesubunitB
arCOG02459	C	NtpC	Archaeal/vacuolar-typeH+-ATPasesubunitC
arCOG04101	C	NtpD	Archaeal/vacuolar-typeH+-ATPasesubunitD
arCOG00869	C	NtpE	Archaeal/vacuolar-typeH+-ATPasesubunitE
arCOG04102	C	NtpG	Archaeal/vacuolar-typeH+-ATPasesubunitF
arCOG04138	C	NtpI	Archaeal/vacuolar-typeH+-ATPasesubunitI
arCOG02455	C	AtpK	Archaeal/vacuolar-typeNa+/H+-ATPase,subunitK
arCOG01617	C	Tas	Aryl-alcoholdehydrogenaserelatedenzyme
arCOG04237	C	GltA	Citratesynthase
arCOG00448	C	FixA	Electrontransferflavoprotein,alphaandbetasubunits
arCOG01554	C	NuoB	F420H2dehydrogenasesubunit,relatedtoNADH:ubiquinoneoxidoreductase20kDsubunit
arCOG04548	C	-	Ferredoxin
arCOG01984	C	FixX	Ferredoxin-likeprotein
arCOG01749	C	FumC	Fumarase
arCOG01711	C	Ppa	Inorganicpyrophosphatase
arCOG01164	C	Icd	Isocitratedehydrogenase
arCOG00246	C	Mdh	Malate/lactatedehydrogenase
arCOG01539	C	NuoL	NADHdehydrogenasesubunitL
arCOG03073	C	NuoK	NADHdehydrogenasesubunit4L(K,kappa)
