Gene	asRNA	Correlation	Correlation_pvalue	Num_experiments
SACI_RS00015	asRNA_1	-0.023938644500477058	0.9157864558275834	22
SACI_RS00045	asRNA_2	-0.2689430478115593	0.11823020474153471	35
SACI_RS00045	asRNA_3	-0.20747001321997682	0.23173607545264363	35
SACI_RS00045	asRNA_4	-0.3519507365365724	0.03813395743103193	35
SACI_RS00085	asRNA_5	0.2527617281428401	0.14293187982707692	35
SACI_RS00110	asRNA_8	0.3784499556344069	0.024977967774731838	35
SACI_RS00110	asRNA_9	0.2886492002523022	0.09263432054383675	35
SACI_RS00115	asRNA_10	-0.09893041117934585	0.5717918945340964	35
SACI_RS00115	asRNA_11	0.11066711168626131	0.5268076737451166	35
SACI_RS00125	asRNA_12	0.16398349234705145	0.3465512776009601	35
SACI_RS00130	asRNA_12	0.2847214293997306	0.09736308867247595	35
SACI_RS00140	asRNA_13	-0.3512133927371928	0.038567856620333525	35
SACI_RS00150	asRNA_14	-0.12504157072534897	0.4741726344868938	35
SACI_RS00160	asRNA_15	-0.3979359472205048	0.017912108249647535	35
SACI_RS00175	asRNA_16	-0.12817308997401305	0.46308389074142475	35
SACI_RS00175	asRNA_17	-0.13226903838481274	0.44879075551407566	35
SACI_RS00190	asRNA_18	0.05023127466960527	0.7744487728537836	35
SACI_RS00220	asRNA_19	-0.07141308514496804	0.6835209862425033	35
SACI_RS00220	asRNA_20	0.39322501310823627	0.019445052266526344	35
SACI_RS00255	asRNA_21	-0.054487713452245644	0.7558936258821878	35
SACI_RS00265	asRNA_22	0.014370347810408319	0.9347002525109777	35
SACI_RS00295	asRNA_24	0.47740057782793777	0.0037314353099829564	35
SACI_RS00295	asRNA_25	0.27972900293362984	0.1036365315645865	35
SACI_RS00300	asRNA_26	0.4698264024210644	0.004403975709989607	35
SACI_RS00310	asRNA_27	-0.4452490521612519	0.0073560743215833465	35
SACI_RS00340	asRNA_28	0.12458603219352381	0.47579720841558065	35
SACI_RS00340	asRNA_29	0.18164130575644455	0.2963482706544641	35
SACI_RS00340	asRNA_30	-0.14935699244043427	0.39181214662993086	35
SACI_RS00350	asRNA_32	0.27304971899278735	0.11250280393129772	35
SACI_RS00385	asRNA_33	0.24582042139343005	0.15461263916858217	35
SACI_RS00395	asRNA_34	0.2902539087725335	0.09075376396068234	35
SACI_RS00420	asRNA_37	-0.4673744874330173	0.0046430202461813785	35
SACI_RS00430	asRNA_38	0.4877283492990831	0.002958746197600128	35
SACI_RS00450	asRNA_39	-0.13128107522139582	0.45221630105343	35
SACI_RS00460	asRNA_40	0.16903224864474053	0.33169802645401586	35
SACI_RS00470	asRNA_41	0.12648070568561504	0.46905944479597494	35
SACI_RS00475	asRNA_41	0.554865407982677	0.0005415958210050493	35
SACI_RS00485	asRNA_42	-0.1987561114741112	0.25236753336314166	35
SACI_RS00490	asRNA_43	-0.3718333568801046	0.027846429450244254	35
SACI_RS00495	asRNA_44	-0.17686395758670095	0.3094475467640374	35
SACI_RS00515	asRNA_45	-0.27314783247390895	0.1123685684327491	35
SACI_RS00535	asRNA_46	-0.0016608014624459305	0.9924452698857812	35
SACI_RS00545	asRNA_47	-0.5766759489163816	0.0002878186801313262	35
SACI_RS00545	asRNA_48	-0.2521167100923846	0.1439892538478659	35
SACI_RS00570	asRNA_49	0.5012047652874129	0.0021620903482056325	35
SACI_RS00585	asRNA_50	0.5915343451411479	0.0001822814213391759	35
SACI_RS00590	asRNA_51	-0.3130557783155841	0.06708039495655484	35
SACI_RS00595	asRNA_52	0.1606374876474224	0.3566139588367243	35
SACI_RS00595	asRNA_53	0.21199819562778843	0.2214792159051659	35
SACI_RS00595	asRNA_54	0.08447617204038259	0.6294639092463974	35
SACI_RS00600	asRNA_55	-0.5591676438918043	0.00047974655932974124	35
SACI_RS00605	asRNA_56	-0.8402699035670456	2.73131642795165e-10	35
SACI_RS00630	asRNA_57	0.6000346543725488	0.0001389420043596588	35
SACI_RS00640	asRNA_58	-0.37131728483156823	0.028081094414716828	35
SACI_RS00655	asRNA_59	-0.24578338542931796	0.15467676228520347	35
SACI_RS00655	asRNA_60	-0.31960402973412516	0.06126782941828582	35
SACI_RS00660	asRNA_61	0.04789303335349556	0.7846951620412634	35
SACI_RS00660	asRNA_994			0
SACI_RS00665	asRNA_61	-0.35243291193130055	0.03785236157788205	35
SACI_RS00665	asRNA_62			0
