Gene	Experiment	Gene_log2FoldChange	Gene_pvalue	asRNA_ids	asRNA_log2FoldChange	asRNA_pvalue
SACI_RS00015	DESeq2-t15-Sacidocaldarius-HS	1.49	1.55456472180618e-29	asRNA_1	nan	nan
SACI_RS00015	DESeq2-t30-Sacidocaldarius-HS	1.6	6.49777003048519e-34	asRNA_1	nan	nan
SACI_RS00015	DESeq2-t60-Sacidocaldarius-HS	1.87	2.87699176320037e-45	asRNA_1	nan	nan
SACI_RS00015	DESeq2_65C_pH_1_6_log	-2.01	5.213023389438e-20	asRNA_1	0.15	0.710967270788838
SACI_RS00015	DESeq2_65C_pH_1_6_stat	0.68	0.0370068217105402	asRNA_1	-0.33	0.559506653439062
SACI_RS00015	DESeq2_65C_pH_2_4_log	-0.27	0.270519259792679	asRNA_1	0.09	0.823290432240679
SACI_RS00015	DESeq2_65C_pH_2_4_stat	0.25	0.308253834588772	asRNA_1	0.54	0.183159954716633
SACI_RS00015	DESeq2_65C_pH_3_5_log	-0.75	0.0227079948567232	asRNA_1	-1.35	0.0535149134809406
SACI_RS00015	DESeq2_65C_pH_3_5_stat	1.19	1.2136663823521e-06	asRNA_1	-0.02	0.965218567018935
SACI_RS00015	DESeq2_75C_pH_1_6_log	-0.26	0.281167062222923	asRNA_1	-0.82	0.0741545277519201
SACI_RS00015	DESeq2_75C_pH_1_6_stat	1.33	5.12668495297157e-08	asRNA_1	-0.18	0.674908991929495
SACI_RS00015	DESeq2_75C_pH_2_4_stat	1.23	4.66647181792255e-07	asRNA_1	-0.28	0.525291615863171
SACI_RS00015	DESeq2_75C_pH_3_5_log	0.11	0.744598511740876	asRNA_1	0.23	0.672514006318528
SACI_RS00015	DESeq2_75C_pH_3_5_stat	1.75	9.36624350025228e-13	asRNA_1	-0.56	0.210056345986093
SACI_RS00015	DESeq2_80C_pH_1_6_log	0.16	0.510276308965008	asRNA_1	-0.06	0.895607709156581
SACI_RS00015	DESeq2_80C_pH_1_6_stat	1.24	4.55481009817232e-07	asRNA_1	-0.38	0.385938798186602
