Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	468.168689227569	-1.23	0.397774881579919	-3.09353309464837	0.00197788491689735	0.00638177853244371
SACI_RS00010	63.3223552647603	-2.57	0.467732265316996	-5.49138976995996	3.98783184119022e-08	4.75511087898885e-07
SACI_RS00015	12453.5485697674	1.24	0.244894819599374	5.04417553892184	4.55481009817232e-07	4.08631534521745e-06
SACI_RS00020	249.48994087617	0.88	0.22807614661391	3.87522268910254	0.000106527234181585	0.000494328347778589
SACI_RS00025	1260.55686285285	0.87	0.159636102108581	5.45667605849306	4.85130239418644e-08	5.64188500657238e-07
SACI_RS00030	329.223358222713	2.69	0.566668767994295	4.75122724194007	2.02185755535634e-06	1.5442620139019e-05
SACI_RS11965	179.735149618192	1.67	0.329017312071962	5.07533666168657	3.86810513508949e-07	3.52621455218158e-06
SACI_RS00035	404.718125314663	0.60	0.152298591320396	3.9292368306636	8.52158809681082e-05	0.000408862613948852
SACI_RS00040	430.987299495675	0.53	0.166554411285296	3.18460924750466	0.00144949586968694	0.00487071977138562
SACI_RS00045	1230.53942180845	0.71	0.164421814790707	4.32760766992401	1.50737663355052e-05	8.91181248203716e-05
SACI_RS00050	88.2839744226457	0.48	0.24876948055029	1.93394659190949	0.0531196947658837	0.107019496505773
SACI_RS00055	668.466191331748	0.67	0.227671397152623	2.92225957933509	0.00347501790072408	0.0105823282192309
SACI_RS00060	277.042067235515	-0.52	0.192053665372698	-2.71898404590387	0.00654827664522548	0.0184684928137796
SACI_RS00065	173.870015165131	1.00	0.265027405415798	3.77484871211086	0.000160104800425606	0.000703664332819227
SACI_RS00070	326.00465998238	-1.03	0.250053403112529	-4.11425626161311	3.88429736736606e-05	0.000206723622602194
SACI_RS00075	182.955004898837	-0.66	0.214823994442258	-3.0740049573273	0.0021120592296525	0.00678259020795222
SACI_RS00080	209.403119005928	0.66	0.331345491817414	2.00584522817984	0.0448727634719029	0.0938641225548466
SACI_RS00085	753.547115173251	0.83	0.241544771915077	3.42308956574073	0.000619136732589442	0.00234541609423293
SACI_RS00090	347.318778690993	0.77	0.172206246889648	4.45521868570164	8.38077230850961e-06	5.29844799638662e-05
SACI_RS00095	457.949905534195	-1.27	0.187169195778735	-6.77531256069455	1.24137589039212e-11	4.74071387330827e-10
SACI_RS00100	28.2622806828564	0.64	0.348065231217083	1.84534616408218	0.064987199130139	0.126135868641327
nadA	1170.45746617164	-2.49	0.633891944536966	-3.93106373380398	8.45708470806414e-05	0.00040704386597851
SACI_RS00110	2356.54284277549	-0.06	0.142814133558314	-0.40944181928565	0.682215455281054	0.77520742928197
SACI_RS00115	1842.42052521868	0.80	0.164868461048037	4.88039612314981	1.058729682113e-06	8.82587044734909e-06
SACI_RS00120	188.842554361665	0.35	0.157474501155844	2.19790509960232	0.0279558694269673	0.0629508262953065
SACI_RS00125	624.543179442781	0.11	0.120870608701806	0.884058963972758	0.376664383728254	0.508821007847059
SACI_RS00130	156.476268058044	-0.31	0.244351697030529	-1.27811119243546	0.201210223084686	0.31625144073266
SACI_RS00135	1447.84633780519	-1.78	0.236402605334311	-7.5498858022642	4.35640053602313e-14	3.06391182945567e-12
SACI_RS00140	324.111819277727	-0.06	0.236895193857152	-0.260434000689344	0.794529018798044	0.858966720399109
SACI_RS11510	396.735650168459	0.36	0.133453581228849	2.67525496608472	0.00746724368685319	0.0206773564027065
SACI_RS00145	74.4654673375098	0.62	0.296352020419227	2.10458214657238	0.0353276970667849	0.07656140483952
SACI_RS11515	24.3957235630814	0.18	0.35925678161724	0.509380937474819	0.610485235389461	0.720347087770612
SACI_RS00150	113.628896073786	0.35	0.237118295650457	1.49496171216818	0.134924434863075	0.231088759347303
SACI_RS00155	482.191973746233	1.34	0.183191055688441	7.31513501618724	2.57122730744637e-13	1.48291599404968e-11
SACI_RS00160	394.823725028823	-0.09	0.191906624625443	-0.475043360167566	0.634756068001666	0.737590727044699
SACI_RS00165	1996.93749791646	-0.41	0.237264352646839	-1.73702076671814	0.0823835053956585	0.153775985152142
SACI_RS00170	193.427530109173	-1.85	0.335286505958771	-5.51980901222167	3.39368310231053e-08	4.13385708927998e-07
SACI_RS00175	791.660557960512	0.86	0.244797481971088	3.52602028683393	0.00042185465295297	0.00165808240506967
trxA	502.905292192285	0.08	0.196400014256647	0.384545529843719	0.700574157123064	0.789113452751371
SACI_RS00185	234.530873881454	-1.49	0.258381033611296	-5.77495414210391	7.69740462624505e-09	1.1570673124345e-07
SACI_RS00190	290.718340944265	0.48	0.181247773846786	2.66502874357282	0.00769817426279502	0.0212037431448915
SACI_RS00195	864.550251648356	4.43	0.594389971986131	7.45426567066961	9.03697367039111e-14	5.67521946500562e-12
SACI_RS00200	592.933613865219	0.17	0.138795623885371	1.25773094596494	0.20848907659779	0.325519409096881
SACI_RS00205	7579.06796187985	0.14	0.270684024503837	0.505630393502375	0.613116140934778	0.722245191447137
SACI_RS00210	87.8251490264537	2.07	0.414442353000813	4.99017487877531	6.03246538907779e-07	5.29433142532107e-06
