Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	2337.79907321818	0.56	0.258394377899937	2.15890690607729	0.0308573899860398	0.113684756070833
SACI_RS00010	344.011382240724	0.05	0.243964015349437	0.224786295486192	0.822145527884558	0.912613379449054
SACI_RS00015	5480.24519330658	-0.04	0.139843951241321	-0.28606201678018	0.774830622643702	0.882564596457663
SACI_RS00020	128.719392751467	-0.30	0.198708282342174	-1.50018884068917	0.133565493081356	0.301853834079739
SACI_RS00025	1096.43551878529	-0.31	0.0943354044644696	-3.28609126934311	0.00101588087800628	0.00872834859837138
SACI_RS00030	183.063712194577	-0.13	0.262901764129389	-0.492469306747821	0.622387614742371	0.778231008181485
SACI_RS11965	239.185042152751	0.03	0.281570169550675	0.114783914693873	0.908616398993176	0.962140172054734
SACI_RS00035	401.929582330919	-0.02	0.146030192266384	-0.141982394558766	0.887093911902122	0.951925455783148
SACI_RS00040	464.197942480944	-0.01	0.159313893727854	-0.0359208061475562	0.971345505665356	0.987855641354757
SACI_RS00045	1396.08697900936	-0.41	0.177901350406136	-2.27846155931899	0.022699092292838	0.0906624383990166
SACI_RS00050	113.974195116508	-0.00	0.224801970587761	-0.0204861893753907	0.983655529047724	0.992881628080206
SACI_RS00055	673.445826787138	-0.28	0.135894838618928	-2.04667597987245	0.0406899092014013	0.136838280380682
SACI_RS00060	207.265129736488	-3.49	0.231100212843922	-15.0921930751881	1.82281452569125e-51	8.16317105088733e-49
SACI_RS00065	202.322776228806	-0.45	0.156677199290509	-2.87460451152001	0.00404533862372339	0.0253967871073476
SACI_RS00070	491.56992351645	-0.11	0.160524550382757	-0.664959415538945	0.506076451465874	0.694498174202657
SACI_RS00075	165.230870137534	-0.38	0.180946938492815	-2.07873461536243	0.0376417495156517	0.129339361826798
SACI_RS00080	269.289853506432	-0.60	0.171003769516083	-3.51338061941638	0.000442443183883059	0.00441949752822967
SACI_RS00085	865.384897617083	-0.99	0.13535470795769	-7.33761729871514	2.17429819042213e-13	2.3369356950657e-11
SACI_RS00090	717.708217844961	-0.76	0.122396206932509	-6.23779819786117	4.4377261774611e-10	2.83908815210428e-08
SACI_RS00095	467.835314821487	-0.31	0.138701703094119	-2.20877566250169	0.0271902486539979	0.103910798032513
SACI_RS00100	83.1354760963448	-0.17	0.256841244159054	-0.649762134815981	0.515845881248346	0.701101609971829
nadA	1136.5246668017	-0.50	0.252899864703491	-1.96039165227238	0.0499500308059338	0.15922201953322
SACI_RS00110	1231.35053490159	-0.23	0.119428585626225	-1.91069381721283	0.0560439398287147	0.171906468401548
SACI_RS00115	1182.11638426997	0.09	0.0972475573578152	0.929224245216939	0.352772885017418	0.562330111985442
SACI_RS00120	122.341166899158	-0.74	0.195667030890107	-3.78659516984033	0.00015272561777415	0.00189112320257668
SACI_RS00125	869.399603455567	-0.51	0.110063317350744	-4.66360124218463	3.10723206896193e-06	7.95155482790545e-05
