Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	2337.79907321818	0.23	0.258100664724691	0.904351909232682	0.365808829832377	0.6264507811504
SACI_RS00010	344.011382240724	0.37	0.244335517342057	1.51271123647139	0.130353024128918	0.354961311858747
SACI_RS00015	5480.24519330658	-0.53	0.140944704165035	-3.73036405731034	0.00019120328837303	0.00408541500801293
SACI_RS00020	128.719392751467	0.04	0.208169247357307	0.207059581462626	0.83596332732572	0.914833346462835
SACI_RS00025	1096.43551878529	-0.18	0.0946233146082356	-1.92099630006999	0.0547321739435417	0.206316921341231
SACI_RS00030	183.063712194577	0.17	0.201707007842812	0.829576094277305	0.406778497434577	0.658221767160744
SACI_RS11965	239.185042152751	0.65	0.287950206159251	2.24916473338532	0.0245020173018009	0.119992092636092
SACI_RS00035	401.929582330919	0.11	0.159039324503865	0.695822898323951	0.486539747203855	0.723803412655626
SACI_RS00040	464.197942480944	0.21	0.166412544178548	1.23572543801234	0.216560638619157	0.472684911603252
SACI_RS00045	1396.08697900936	0.20	0.177337274523469	1.10202891056382	0.270449103060211	0.538213671669822
SACI_RS00050	113.974195116508	0.05	0.209727630100797	0.240858407941115	0.809664858869345	0.901085613706304
SACI_RS00055	673.445826787138	-0.07	0.142102453813122	-0.494788941760819	0.62074911100037	0.798164658888645
SACI_RS00060	207.265129736488	0.10	0.181341259642717	0.527318966424397	0.597972105455588	0.788276524396476
SACI_RS00065	202.322776228806	-0.10	0.17756224528954	-0.587321411787152	0.556987863363257	0.762129169196107
SACI_RS00070	491.56992351645	-0.19	0.163284761460701	-1.19326108208181	0.232767139156621	0.496810483057802
SACI_RS00075	165.230870137534	-0.12	0.185097793794417	-0.629472695125922	0.529039639152677	0.74594400181511
SACI_RS00080	269.289853506432	0.10	0.16835945212599	0.614022877157299	0.53920020986346	0.75086458712793
SACI_RS00085	865.384897617083	-0.07	0.136276970108191	-0.51145927371912	0.60902949902756	0.793884849337345
SACI_RS00090	717.708217844961	0.27	0.123694631313876	2.2002357344167	0.0277901741984645	0.128717853577187
SACI_RS00095	467.835314821487	-0.04	0.140434490827164	-0.316397203755995	0.751701039115269	0.871370489988982
SACI_RS00100	83.1354760963448	0.40	0.223097745284614	1.79139400927054	0.073230089600386	0.251558796209405
nadA	1136.5246668017	0.37	0.259591615713844	1.41431876956467	0.157268328372307	0.395588846575322
SACI_RS00110	1231.35053490159	-0.37	0.122120706274276	-3.05294550538067	0.00226607085672906	0.0223926668408894
SACI_RS00115	1182.11638426997	-0.25	0.104334489833238	-2.43897621916309	0.0147289374971842	0.0854044189150189
SACI_RS00120	122.341166899158	0.05	0.211336755859752	0.221999330677652	0.82431440437432	0.909057006693175
SACI_RS00125	869.399603455567	0.02	0.114005957308467	0.199213818210827	0.842095490689841	0.918447458595698
SACI_RS00130	221.81949181405	0.33	0.197151132081084	1.66978997329096	0.0949609248759762	0.292682246669429
SACI_RS00135	4582.61266660818	0.11	0.0944253599503049	1.19177582448989	0.233349157551879	0.497196227354735
SACI_RS00140	599.459266458724	0.18	0.173570447225827	1.00958371531274	0.312694774877863	0.573825938734717
SACI_RS11510	726.022180357939	-0.07	0.124901684211121	-0.578540676107211	0.562899143540522	0.765671942758067
SACI_RS00145	190.239757754879	-0.05	0.169312064620134	-0.30398004519526	0.761143093865787	0.875276398579985
SACI_RS11515	80.1947353796453	0.44	0.269831937220906	1.64257907752735	0.100470052573676	0.300920532215024
SACI_RS00150	90.2127728767832	0.08	0.252723378466153	0.303922811171163	0.761186698522949	0.875276398579985
SACI_RS00155	1613.11832502153	0.01	0.115646654558802	0.0823175326367584	0.9343942127075	0.964762024620494
SACI_RS00160	229.213297273159	0.51	0.193567149552743	2.62184821779249	0.00874543700397612	0.0590495719233047
SACI_RS00165	886.90258113639	-0.23	0.11261832945529	-2.08165750580836	0.0373737647080349	0.158487304719764
SACI_RS00170	97.5352478470398	-0.46	0.24727551726984	-1.84514572410864	0.0650163433665761	0.233764747408911
SACI_RS00175	386.949530542852	-0.24	0.172251506888914	-1.39879793783272	0.161873584883318	0.401926596533931
trxA	674.908762062945	0.11	0.16908207240984	0.676432881272131	0.498765846640583	0.732192990506732
SACI_RS00185	145.853946688177	-0.34	0.214192697609503	-1.57709297290002	0.114774133892464	0.328798039058412
SACI_RS00190	311.83517747119	0.18	0.162354114602329	1.1155082947534	0.264632665927334	0.532281151928446
SACI_RS00195	1593.58679900004	0.17	0.194176423446988	0.897769910785565	0.369308229186466	0.627241803923278
SACI_RS00200	423.603348197907	-0.22	0.16000442093441	-1.4008728850784	0.161252088408748	0.401926596533931
SACI_RS00205	14677.5686056703	-0.11	0.13695591171986	-0.813465644412117	0.415951135997939	0.665414406070299
SACI_RS00210	221.790199092463	-0.03	0.177391135441684	-0.174785232113643	0.861248392773132	0.926440637101837
SACI_RS00215	1867.67448725755	-0.13	0.114824349523155	-1.15822893705712	0.24677062241735	0.510858481495566
SACI_RS00220	363.268849254762	0.06	0.179116224148209	0.36186891516982	0.71744999003081	0.847275930956693
SACI_RS00225	730.96115082445	-0.38	0.171403693643209	-2.23569157721003	0.0253719811475714	0.122557055133883
SACI_RS00230	5558.48442186209	-0.17	0.187064137634599	-0.893316756364988	0.371687567087669	0.629369590711215
SACI_RS00235	2574.3309450458	-0.23	0.197790425001505	-1.17759947280806	0.238956320147025	0.503950665916784
SACI_RS00240	4209.78767593423	-0.21	0.142403749862597	-1.46775315809583	0.142171285465332	0.375553368419556
SACI_RS00245	14951.8481386096	-0.47	0.183615952583338	-2.56878939750136	0.0102054458821694	0.0656859607688719
SACI_RS00250	883.063951122702	0.04	0.170646348879374	0.23963014324336	0.810616994572099	0.901574915866096
SACI_RS00255	624.672014607473	-0.30	0.135784400782422	-2.23115518796921	0.0256708511538559	0.123202283219792
SACI_RS00260	984.798366708629	-0.43	0.144069506569172	-2.98733056003981	0.00281425247456314	0.0260947917885444
SACI_RS00265	1986.36234191904	-0.44	0.134554002593057	-3.26469858108768	0.00109580619442934	0.0135770387489796
SACI_RS00270	241.915446384457	-0.05	0.191982963164608	-0.270418652365357	0.786838191949941	0.888756276140116
meaB	292.189762497429	0.08	0.214365489551304	0.396132864260401	0.692007015004476	0.837328181225965
SACI_RS00280	169.167334093515	0.24	0.208232928305775	1.1681241870963	0.242756675290373	0.506672580012539
SACI_RS00285	1.42688833800779	0.52	1.89846753480006	0.273776527366324	0.784256363119466	NA
SACI_RS00290	18469.4141574923	-0.30	0.268538421500772	-1.12217669361961	0.261787320056743	0.529558350286211
