Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	2337.79907321818	0.38	0.258653153122569	1.47349843788316	0.140616684748696	0.265495249063232
SACI_RS00010	344.011382240724	-0.13	0.245965568416983	-0.544351138802775	0.586199862398945	0.730748744131054
SACI_RS00015	5480.24519330658	0.09	0.13990620972738	0.611072937298481	0.54115129507164	0.69525398174767
SACI_RS00020	128.719392751467	-0.32	0.202586477510709	-1.56036411533396	0.118673859858813	0.231384209171958
SACI_RS00025	1096.43551878529	-0.17	0.0948512026444045	-1.80284750051245	0.07141216789958	0.155444157896421
SACI_RS00030	183.063712194577	0.61	0.253758444141566	2.41716376860255	0.0156419777407422	0.0441789798974192
SACI_RS11965	239.185042152751	0.02	0.282838151518778	0.0734296432283412	0.941464229375641	0.969576963497674
SACI_RS00035	401.929582330919	-0.38	0.149232958780871	-2.55692133471371	0.010560309586305	0.0318863822528119
SACI_RS00040	464.197942480944	-0.22	0.161322638131865	-1.33580245513869	0.181613850304362	0.324916075703021
SACI_RS00045	1396.08697900936	-0.21	0.178063410989693	-1.19127015179172	0.233547547544791	0.39079869950352
SACI_RS00050	113.974195116508	0.69	0.218796155686371	3.14651518446539	0.00165228681827934	0.00654170699482026
SACI_RS00055	673.445826787138	-0.32	0.136955629979005	-2.31918042881602	0.020385255195187	0.0545481311429831
SACI_RS00060	207.265129736488	-3.21	0.230869160085967	-13.9230967864061	4.58595289219413e-44	1.09498444441312e-41
SACI_RS00065	202.322776228806	-0.72	0.161887331453115	-4.47243431393435	7.73341591326344e-06	5.55205586478195e-05
SACI_RS00070	491.56992351645	-0.01	0.161374309765416	-0.0336585401070002	0.973149440426332	0.988111175362556
SACI_RS00075	165.230870137534	-0.26	0.183044741020828	-1.44076908887528	0.149649928963987	0.280164885105077
SACI_RS00080	269.289853506432	-0.41	0.171882454119352	-2.38149766440406	0.0172424001060202	0.0479144224969443
SACI_RS00085	865.384897617083	-0.86	0.135911014496116	-6.31268392377693	2.74237237224602e-10	4.0728822217472e-09
SACI_RS00090	717.708217844961	-0.65	0.123154605924257	-5.31516214885525	1.06562392072593e-07	1.06699891933332e-06
SACI_RS00095	467.835314821487	0.02	0.13849619322502	0.118886892366948	0.905364966483063	0.945921797046847
SACI_RS00100	83.1354760963448	0.49	0.248970490027024	1.9612312737175	0.049852050248653	0.114878072733347
nadA	1136.5246668017	0.41	0.25234789951723	1.64336688532075	0.100307047272055	0.203233077501606
SACI_RS00110	1231.35053490159	-0.35	0.120392234775784	-2.88618754009592	0.00389939724048688	0.0137698851359173
SACI_RS00115	1182.11638426997	-0.67	0.099988456648667	-6.68771267183832	2.26685647775604e-11	3.97532345025692e-10
SACI_RS00120	122.341166899158	-0.57	0.197220709983882	-2.87325860447725	0.00406261415876564	0.0142651067294214
SACI_RS00125	869.399603455567	-0.24	0.110093470693952	-2.1399989632843	0.032354850526716	0.0806099161762741
SACI_RS00130	221.81949181405	0.33	0.202207437849888	1.63195476190457	0.102689016460296	0.206308548280104
SACI_RS00135	4582.61266660818	0.32	0.0938944348738367	3.37597171998751	0.000735554794150817	0.00325236763681501
SACI_RS00140	599.459266458724	0.46	0.172083813632566	2.65616375070834	0.00790352260566909	0.0248556577183352
SACI_RS11510	726.022180357939	-0.40	0.120702057025364	-3.32285545898078	0.000891010700358416	0.00383060555943563
SACI_RS00145	190.239757754879	-0.26	0.154984013345702	-1.67014567798395	0.0948905445854404	0.195448075907901
SACI_RS11515	80.1947353796453	-0.22	0.246533967279233	-0.892131448396288	0.372322480342494	0.542322373994885
SACI_RS00150	90.2127728767832	-0.37	0.232189989669838	-1.6142271840818	0.106478157639235	0.212272447856253
SACI_RS00155	1613.11832502153	-0.63	0.113853720183711	-5.55427370860608	2.78768385187167e-08	3.13513430297451e-07
SACI_RS00160	229.213297273159	-0.10	0.197176112207376	-0.492548596758577	0.622331576280938	0.760870640176746
SACI_RS00165	886.90258113639	-0.18	0.11083989378282	-1.57965189156372	0.114186608575346	0.224895452422509
SACI_RS00170	97.5352478470398	-0.03	0.249273625391654	-0.138019433319072	0.890225058965896	0.940203668945268
SACI_RS00175	386.949530542852	-0.22	0.166831486519381	-1.29510223162478	0.195284965186053	0.345325869990016
trxA	674.908762062945	2.49	0.168488864265272	14.798016592622	1.50866009917335e-49	4.68288094783409e-47
SACI_RS00185	145.853946688177	0.50	0.205629827126914	2.45548937988144	0.014069290985433	0.0404361844618372
SACI_RS00190	311.83517747119	0.20	0.153999938488732	1.32918475460171	0.183787023535065	0.328236433287021
SACI_RS00195	1593.58679900004	-0.56	0.182960637635779	-3.04196354036491	0.00235040361809267	0.008929807626144
SACI_RS00200	423.603348197907	0.17	0.159985173072745	1.04565237848372	0.295721556914347	0.460803068605488
SACI_RS00205	14677.5686056703	-0.56	0.136359367397998	-4.10291800193985	4.07971869516682e-05	0.000246850815395669
SACI_RS00210	221.790199092463	-0.36	0.165255546636698	-2.16227929883658	0.0305966543781217	0.0772130204794226
SACI_RS00215	1867.67448725755	0.06	0.114169633049981	0.543100152237918	0.587060847830162	0.731435111166557
SACI_RS00220	363.268849254762	-0.41	0.167599012673748	-2.44917434699464	0.0143184121635061	0.041076110310095
SACI_RS00225	730.96115082445	-0.52	0.164922332663409	-3.15524721298456	0.00160362163601777	0.00638159174128097
SACI_RS00230	5558.48442186209	-0.27	0.186362631338799	-1.42795534020818	0.153304713383444	0.284350637364709
SACI_RS00235	2574.3309450458	-0.33	0.196386975094022	-1.65595098982969	0.0977317443396186	0.199709897584053
SACI_RS00240	4209.78767593423	-0.23	0.141421162108381	-1.60295388988009	0.108944834587355	0.216772286255866
SACI_RS00245	14951.8481386096	0.07	0.183578771151696	0.40188108877203	0.687771541062094	0.808540592488733
SACI_RS00250	883.063951122702	-0.65	0.167845548013169	-3.88809086081798	0.000101035806482866	0.000551168968932894
SACI_RS00255	624.672014607473	-0.04	0.132432540066282	-0.31868104676876	0.749968388367722	0.853336465356821
SACI_RS00260	984.798366708629	-0.29	0.14165698649344	-2.02146137446449	0.0432320268924445	0.101583808837356
SACI_RS00265	1986.36234191904	0.28	0.133575292905423	2.07884418636061	0.0376316740967346	0.0913996215933209
SACI_RS00270	241.915446384457	0.46	0.194924197773475	2.38339966893364	0.0171535596482179	0.0477102590932512
meaB	292.189762497429	-0.58	0.205205902741205	-2.81133647830299	0.00493361615285025	0.016655918983634
SACI_RS00280	169.167334093515	-0.36	0.199137942301084	-1.82353411864388	0.0682225344482168	0.149664906055608
SACI_RS00285	1.42688833800779	-0.19	1.54256547772223	-0.120349411285754	0.904206363975063	NA
SACI_RS00290	18469.4141574923	-0.35	0.268545468127428	-1.28858133146358	0.197543677020607	0.34804364336011
SACI_RS00295	228.439754226232	1.09	0.18535347201874	5.88016853854576	4.09848951316118e-09	5.15049046512239e-08
SACI_RS00300	41.0700874761067	0.99	0.396207862104268	2.5039858256777	0.0122802953835735	0.0358589246195788
lysS	8571.91113194362	-3.44	0.523354837223863	-6.5708985009255	5.00125438923956e-11	8.43689870880412e-10
SACI_RS00310	686.512121514756	-0.85	0.16403621320613	-5.15628469164259	2.51897822316772e-07	2.39131723581644e-06
SACI_RS00315	178.380414055606	-0.47	0.176396468777321	-2.67124910526966	0.00755695423046945	0.0239110967700073
SACI_RS00320	124.462942586062	-0.25	0.1963494385002	-1.27589580024547	0.20199235587855	0.353429691458297
SACI_RS00325	546.952256790971	-0.14	0.12530342262266	-1.09552421750652	0.273287041732973	0.438389135679147
SACI_RS00330	311.472951371902	0.02	0.13996337943461	0.134973287314907	0.892632994670029	0.940656849355684
rimI	719.706621533006	-0.40	0.132266115088696	-3.02042675960187	0.0025241874797289	0.0094909431343976
SACI_RS00340	940.943937805587	-0.57	0.112171411868613	-5.05310355959668	4.34688046889087e-07	3.98015250012898e-06
dnaG	6164.73925817203	0.01	0.181587869369833	0.0452843944393046	0.963880626111081	0.982879587203941
SACI_RS00350	2345.06476055301	-0.22	0.123181061403613	-1.82458591021324	0.0680635412326076	0.149624101973098
SACI_RS00355	616.241843760269	-0.21	0.184112241877188	-1.15829499372235	0.246743673686731	0.405570823868816
SACI_RS00360	155.755627542114	-0.18	0.210696750477639	-0.859581359822147	0.390019853787955	0.558920418355408
SACI_RS00365	357.479191156089	-0.11	0.149703679217269	-0.763140907966113	0.445379365569126	0.611977667430972
SACI_RS00370	3118.69228247258	0.32	0.223357650622513	1.41672953252892	0.156562019146586	0.288923012741382
SACI_RS00375	3230.95462260673	0.41	0.171472001588578	2.37263236736055	0.0176618334237356	0.0486444817633321
SACI_RS00380	2271.31737315384	0.26	0.086068084180811	2.99772350288645	0.00272004328645697	0.0101356715019957
SACI_RS00385	2595.97712120847	-0.14	0.14332910301921	-0.972207641988643	0.330947259535108	0.498428090051904
SACI_RS00390	1626.14597771122	-0.12	0.132893619243532	-0.888493553272517	0.374275322074358	0.544156715977583
SACI_RS00395	2000.07685145188	0.00	0.119870265597807	0.0349735119153722	0.972100862377164	0.98736946230979
SACI_RS00400	2598.67518650617	-0.01	0.101939001101462	-0.0526207784695988	0.9580340610802	0.978525082459013
SACI_RS00405	528.658874895483	0.05	0.149981748861831	0.347885283276944	0.72792633801344	0.840463896046686
rpsB	3507.59052993403	-0.11	0.0868922699287355	-1.21448781689971	0.224561499336813	0.381729952870464
amrB	1459.1773718902	-0.55	0.127491897391605	-4.34289501004118	1.40617343815112e-05	9.36644281549586e-05
SACI_RS00420	418.398285061858	-0.74	0.154014648865328	-4.78728469229631	1.69052944856828e-06	1.37007921889189e-05
fni	943.573988910188	0.10	0.104143545261002	0.95245607124038	0.340865734382887	0.507700210904262
SACI_RS00430	917.519844641267	0.91	0.137240192164379	6.63541197849935	3.23597429425888e-11	5.58025789409976e-10
SACI_RS00435	357.836159087227	0.56	0.204780415580038	2.71534562828249	0.00662066344352691	0.0213445668756537
SACI_RS00440	327.541019725012	0.27	0.156304843049665	1.71195469280378	0.086905018291598	0.181896949950856
ffs	103262.15342811	0.21	0.245581154636969	0.857647688311788	0.391087033823504	0.560191118130206
SACI_RS00450	2.90831491386021	0.05	1.71239016681318	0.0280347775102874	0.977634413598146	NA
SACI_RS00455	4156.84489882527	-1.15	0.128460117877083	-8.9309657577644	4.22305808885923e-19	1.93121380337793e-17
SACI_RS00460	2633.45657418683	-1.17	0.13447654094793	-8.71456193748982	2.91885098549708e-18	1.16155300756192e-16
SACI_RS00465	140.119609300849	-1.48	0.230631074364114	-6.42436393201843	1.32422049275485e-10	2.0864875175183e-09
SACI_RS00470	653.989583149233	0.52	0.138811029174076	3.74862510542614	0.000177806637641998	0.000917963859253552
SACI_RS00475	711.929079617358	0.38	0.217363401804363	1.72745987859381	0.0840851047788464	0.177189521543475
SACI_RS00480	1022.88961824342	-0.09	0.136994316641389	-0.685200223783614	0.493217582673407	0.65700421747176
SACI_RS00485	142.57377547198	0.28	0.251782210607337	1.09259101485457	0.274573409504056	0.439544024291177
SACI_RS00490	213.738921690358	-0.19	0.177426380597483	-1.04333716981488	0.296792161821226	0.462007457519099
SACI_RS00495	232.85206337403	-1.03	0.204750859388952	-5.05479733152005	4.30848046241688e-07	3.96928403185209e-06
SACI_RS00500	1083.71807390154	-0.69	0.113934413205449	-6.07090309506967	1.27192926149164e-09	1.73160895950441e-08
mobB	82.755477508726	-0.37	0.22532705718716	-1.63438593809684	0.102177838999729	0.205814414182453
SACI_RS00510	254.496792196009	-0.25	0.143644224811708	-1.71098431017614	0.0870840092425085	0.182148763267349
SACI_RS00515	379.318292255498	-0.14	0.161156028715991	-0.847917918077705	0.39648368494482	0.564534567921432
SACI_RS00520	627.851714473428	0.15	0.116000605704619	1.25877169864289	0.208112805481393	0.361489730394093
SACI_RS00525	155.758688166337	-1.09	0.282594402552777	-3.86205154429391	0.00011243883548837	0.000609092749312217
SACI_RS00530	1057.71270988951	-0.83	0.180950495737233	-4.60692204263111	4.08673126346618e-06	3.1321515658763e-05
SACI_RS00535	367.876604590062	-0.12	0.143477747382473	-0.82472850136618	0.40952574671933	0.576232057033907
SACI_RS00545	135.682593969633	-0.63	0.204560875929104	-3.07138682270456	0.00213066921734251	0.00815486714011238
SACI_RS00550	405.79351341667	0.79	0.141425990413131	5.60967555368096	2.02706278326991e-08	2.33037143676659e-07
tpiA	256.954147927294	0.02	0.180499929179348	0.0938302915806201	0.925243968627912	0.957638305642227
SACI_RS00560	55.7562250905137	0.28	0.315046078804611	0.879584324309959	0.379084533874118	0.548266652505123
SACI_RS00565	328.61436586982	-0.66	0.131106325583864	-5.04062013767774	4.64025716715313e-07	4.23628183730686e-06
SACI_RS00570	205.327926342656	-0.26	0.175197558431753	-1.50539875500421	0.132221588987916	0.252253111381987
SACI_RS00575	186.565371105075	-0.38	0.171843877619509	-2.20722519061333	0.0272983307083708	0.0703186875674548
SACI_RS00580	2030.40760561483	0.68	0.0867522431154068	7.85527153196345	3.98907002237655e-15	1.16812012730725e-13
SACI_RS00585	320.392836138045	0.15	0.144858194969949	1.04855659194252	0.294382243133264	0.458946500595506
SACI_RS00590	2352.22271528691	0.53	0.126023043886786	4.17103364821755	3.03221079668142e-05	0.000188995628773075
SACI_RS00595	351.548946915481	0.20	0.142683393079778	1.41868862814533	0.155989814033645	0.288381407242664
SACI_RS00600	484.646312982811	-0.61	0.152412575780047	-3.99858356283923	6.3722683791418e-05	0.000366966995340559
SACI_RS00605	1425.39413145767	-0.09	0.139486412232253	-0.649243211499618	0.516181185354372	0.675759763534362
SACI_RS00610	158.763475757852	-0.21	0.174447619371765	-1.21850000621412	0.223034022409911	0.380174412718487
SACI_RS00615	554.344763767268	-0.70	0.171858165082606	-4.0859143520882	4.39035727524004e-05	0.000264102112060951
SACI_RS00620	6043.66810810534	-0.46	0.116449322789075	-3.95767709771047	7.56821719908623e-05	0.000424972416474244
SACI_RS00625	168.793778067837	-0.78	0.186973325499291	-4.14926118433323	3.33550064854918e-05	0.000205017703229637
SACI_RS00630	1636.49665053221	-0.83	0.149636194150359	-5.52396102919471	3.31441009231131e-08	3.62743808518347e-07
SACI_RS00635	829.966348518747	-0.21	0.123794923663858	-1.70099324017551	0.0889442565439562	0.185415025058724
SACI_RS00640	893.750571347638	0.41	0.14016450658621	2.95663521113134	0.00311015834461833	0.0113575664725827
SACI_RS00645	838.454412597752	0.50	0.151452969531758	3.28505355835212	0.0010196298761393	0.00431324304959011
thiC	1531.67733516811	0.79	0.17214913873426	4.56743150733979	4.93736933218248e-06	3.71079767726257e-05
SACI_RS00655	895.363605213216	0.42	0.111609212721478	3.75371201845942	0.000174235027910237	0.000901375877722291
SACI_RS00660	148.513878461598	0.47	0.186365089345053	2.52369284425449	0.0116129346395872	0.0343300467821701
SACI_RS00665	1002.00892564625	0.64	0.16986409565218	3.76988539760116	0.00016332252570203	0.000849167704822616
SACI_RS00670	145.778123816611	-0.48	0.183813150871951	-2.63585634528644	0.00839252533684876	0.0261813051714357
SACI_RS00685	231.945662139326	-0.61	0.189763202128661	-3.20300226443282	0.00136002911650383	0.00554006611237254
SACI_RS00690	1349.31329164897	0.25	0.10748337118724	2.30614051720703	0.0211027819819754	0.0562740852852677
SACI_RS00695	350.487720436884	-0.70	0.151081738300246	-4.60386627280116	4.14718817742725e-06	3.17065815338281e-05
SACI_RS00700	2820.26920175719	-1.32	0.141347437009674	-9.33997007718242	9.6361347266619e-21	5.1569934813032e-19
SACI_RS00705	3887.25928186882	-0.88	0.13793177380484	-6.3921479695998	1.63571490544943e-10	2.52599953557962e-09
SACI_RS00710	1595.91273350901	0.43	0.147168714208019	2.89544625870326	0.00378619853951366	0.0134620392516041
SACI_RS11970	800.525236294354	0.34	0.155805186507267	2.1845575621072	0.028921302405396	0.0738973598822379
SACI_RS00720	1288.81444073212	0.13	0.119598842086834	1.08883493247495	0.276226683988407	0.441507531977351
cysS	2245.26493667216	-0.27	0.115217996511318	-2.38494068473907	0.0170818752958193	0.0475534896127561
SACI_RS00730	159.973164063361	-6.74	0.682037818871577	-9.87726598163505	5.22387051860055e-23	3.60330979771914e-21
SACI_RS00735	2100.31810179777	0.35	0.170715403183149	2.05992633758429	0.0394055834173838	0.0946709991699374
SACI_RS00740	11810.6227760847	0.67	0.157350152951002	4.2286272804985	2.35121487476035e-05	0.000151100848266172
SACI_RS00745	415.75605345717	-0.34	0.13463193090414	-2.48906365277605	0.0128080032291156	0.037155179460911
SACI_RS00750	3295.14647830351	-0.50	0.10271134404107	-4.86885559791425	1.12246390371443e-06	9.46773901393909e-06
